,Question,Answer
1091,"oh, no, it isn't!",what do you mean?
1092,i can't get a single channel.,do you have a digital tv?
1093,of course. but i don't have cable.,"you don't need to have cable, but you do need a good antenna."
1094,but i have rabbit ears.,rabbit ears aren't strong enough. buy a digital antenna.
1095,"oh, really?",are you interested?
1096,maybe. what is she like?,she's got a great personality.
1097,uh-oh. that means that she's fat and ugly.,she's cute.
1098,"okay, so she's not ugly; she's just fat.",she weighs 98 pounds.
1099,"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?
1100,the problem is she has no problemsÃ‚â€”she's too good for me!,thank you.
1101,would you have dinner with me?,i would like to.
1102,can i pick you up friday night?,what time?
1103,eight o'clock.,that sounds great.
1104,we'll go to a french restaurant.,i've never been to a french restaurant.
1105,i think you'll love the food.,i'm not going to eat any snails!
1106,thank you. so do you.,i wish my eyes were blue.
1107,what's the matter with green eyes?,"nothing, except my favorite color is blue."
1108,maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?
1109,i think some fish have blue eyes.,i hope i don't come back as a fish.
1110,i hope i come back as a cat.,cats have beautiful eyes.
1111,i would love to have blue cat-eyes.,"i love you, too."
1112,i loved you the first day i saw you.,it was love at first sight?
1113,"yes, it was love at first sight.",i didn't love you at first.
1114,i know. i had to chase you for a while.,"yes, you chased me and then you caught me."
1115,now you're mine forever.,and you're mine forever.
1116,we'll grow old together.,and be happy together.
1117,have you told her?,of course not.
1118,why not?,she would laugh at me.
1119,how do you know?,because they always do.
1120,maybe she's different.,they're all the same.
1121,just ask her out to dinner.,and then what?
1122,and then she'll know that you like her.,i'm not in the mood.
1123,what's the matter?,i saw you looking at that woman.
1124,what woman?,"you know, that woman with the big boobs."
1125,i was not looking at her.,"you were, too."
1126,i'm not interested in her.,then why were you looking at her?
1127,i was looking at something else.,"oh, really? then spend tonight looking at the sofa."
1128,you must be joking.,"no, i'm serious."
1129,i don't want to date a blind woman.,a blind date doesn't mean that she is blind!
1130,what does it mean?,a blind date is a date with someone you don't know.
1131,why would i date someone i don't even know?,to try something new and exciting.
1132,what if i don't like her?,then you don't date her again.
1133,really? who with?,a girl i met at the market.
1134,you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.
1135,what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them."
1136,she asked you about your pineapples?,"i told her i had gotten the last two on the shelf, but i offered her one of mine."
1137,that was nice of you.,"she asked me how she could return the favor, so i asked her out."
1138,sometimes a slow line can be a good thing.,"yes, in fact, i did."
1139,who did you go out with?,a man i met in a coffee shop.
1140,where did you go?,we went to a nice restaurant.
1141,anywhere else?,then we went to a jazz club.
1142,that sounds like a nice date.,"yes, it was pleasant."
1143,but you won't date him again?,"no. he was nice, but there was no chemistry."
1144,what happened?,"first of all, he was half an hour late."
1145,that's not a good start.,then he didn't bother to apologize.
1146,that's rude.,then he drove too fast to the restaurant.
1147,that's dangerous.,i thought about getting out and taking a taxi home.
1148,what happened at the restaurant?,"we had a $40 meal, and he left a $1 tip!"
1149,i guess you can't go back to that restaurant.,why not?
1150,he's a dirty old man.,what do you mean?
1151,"he's old enough to be my father, yet he asked me out.","well, you can't blame a man for asking."
1152,he should act his age.,but a lot of old people are still interested in dating.
1153,they should find a nice hobby.,just wait until you're 50 years old.
1154,dating will be the furthest thing from my mind.,that's what you say now. wait till you're 50.
1155,sometimes.,what does she do?
1156,"just yesterday, i told her i wouldn't trade her for all the money in the world.",that was a nice thing to say.
1157,that's what i thought.,what did she say?
1158,she laughed! she didn't believe me.,that wasn't very nice of her.
1159,she said that nothing is more important to me than money.,what did you say?
1160,i told her i wouldn't trade her for any other woman in the world.,i wish i had a good nose. mine is way too big.
1161,i don't mean good-looking. i mean good-smelling.,oh. but that can be a curse.
1162,"yes, because you can be too sensitive to odors.",i'll say. my girlfriend has a nose like a drug dog.
1163,did she catch you using drugs?,sort of. she knows whenever i sneak a cigarette.
1164,you don't need a good nose for thatÃ‚â€”cigarettes stink.,"but when i sneak just one cigarette in the morning, she can smell it that evening!"
1165,"boy, that is a good nose.",i told her she should apply for a job at customs.
1166,that sounds like fun.,where do you want to go?
1167,let me think a minute.,i feel like chinese.
1168,that sounds delicious.,i know a good chinese restaurant.
1169,how far away is it?,it's only 10 minutes from here.
1170,do we need reservations?,"oh, no. we can walk right in."
1171,let's go now. i'm hungry!,"this is a popular restaurant, isn't it?"
1172,"yes, but it isn't a fast-food restaurant, is it?",it's the slowest hamburger in town.
1173,that's because they cook it while you wait.,yes. that's why it's also the best hamburger in town.
1174,a great burger and great service.,"yes, the workers are very polite."
1175,and they're clean.,i've been coming here for years.
1176,me too.,excuse me. they just called my number.
1177,thank you.,what kind of soup was that?
1178,it was tomato soup.,that tasted so good.
1179,i put lemon and butter in it.,"the sandwich was good, too."
1180,everyone likes bacon and tomato sandwiches.,especially on toast.
1181,"and the pickles were great, too.",tomorrow we'll have rice and fish for lunch.
1182,i can't wait.,what's the matter?
1183,this steak has too much fat.,what do you want the waiter to do?
1184,bring me a better steak.,i wouldn't do that.
1185,why not?,"they will drop the new steak on the floor, step on it, and then spit on it."
1186,you're crazy.,then the waiter will give you a big smile as he brings you the new steak.
1187,where do you get these crazy ideas?,i used to cook in a restaurant!
1188,but we just got here.,did you see the waiter's hands?
1189,no.,he had dirty fingernails.
1190,really?,his nails were black!
1191,that's disgusting.,and he poured water into our glasses.
1192,yuck! no water for me.,"i wonder if the cooks' nails are dirty, too."
1193,who cares? let's get out of here.,i like this restaurant because they give you free bread.
1194,"well, i think we are paying for it.",no. look at the bill when we get it. there's no charge for the bread.
1195,"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.
1196,they probably wouldn't like that.,i'm eating so much bread that i'm getting full.
1197,then stop eating the bread!,"okay, just one more piece. pass the butter, please."
1198,"if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.
1199,"well, the tables and chairs look okay.","okay, let's sit down."
1200,check out the silverware.,it passes inspection.
1201,here comes the waiter. see if his hands and nails are clean.,"well, the waiter looked clean, so i guess it's okay to eat here."
1202,you're forgetting about the bathroom.,i'm going to just hope that the bathroom is clean.
1203,you're not going to examine it before we order dinner?,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
1204,"me, too. let's forget about germs and focus on food.",here he comes now.
1205,we've been sitting here for almost 10 minutes.,"oops, i guess i was wrong. that isn't our waiter."
1206,"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.
1207,that's a good idea.,maybe they'll give us free drinks for waiting so long.
1208,maybe he'll send us our waiter immediately.,"every time we eat out, it's an adventure."
1209,"last time, we got seats next to the kitchen.",we'll never go there again.
1210,"no, it's too close to the kitchen door.",how about this table?
1211,"no, it's too close to the front door.",this looks like a nice table.
1212,"no, it's too close to the salad bar.","okay, i give up."
1213,"well, there is one good table.",great. which one?
1214,that one. a group of eight just sat down at it.,what is it this time?
1215,an andy warhol drawing.,he's a famous artist.
1216,he drew two butterflies and a flower on a napkin in a restaurant.,did he sign it?
1217,yes.,is it beautiful?
1218,it's just black ink on a white napkin. and the napkin has food stains!,so it's not worth much?
1219,"only about $30,000.","without the food stains, it would probably be worth more."
1220,of course.,i love baseball.
1221,so do i.,i love to eat the peanuts.
1222,i love to eat the hot dogs.,i hope we'll see a home run.
1223,i hope we'll catch a foul ball.,bring a jacket.
1224,yes. it gets a little cool at night.,bring a glove to catch a foul ball.
1225,no. i'll just use my cap to catch a foul ball.,it certainly is.
1226,you hit a white ball.,and then you chase it.
1227,and then you hit it again.,"finally, you put the ball into a hole in the ground."
1228,"you do this 18 times, because there are 18 holes.",what's the point?
1229,how can it be fun?,they pay money to play this silly game!
1230,i think golfers have a mental problem.,i think they're nuts.
1231,yes. that's a good idea.,where do you want to go?
1232,we can go to the river.,or we can go to the lake.
1233,or we can go to the ocean.,let's go to the lake.
1234,yes. the lake is only 10 miles away.,we can be there in 20 minutes.
1235,i'll get our fishing rods.,i'll get the bait.
1236,we'll have fresh fish for dinner!,i like to hit the ball.
1237,i like to run around the bases.,i like to slide into the bases.
1238,yeah. it's a lot of fun to slide.,i want to be a baseball player when i grow up.
1239,me too. i want to play for the yankees.,not me. i want to play for the dodgers.
1240,we have to practice every day.,i don't like practice.
1241,me neither. it's boring.,but practice makes perfect.
1242,that's a good idea.,i bought some new shoes.
1243,are they comfortable?,they're very comfortable.
1244,how much were they?,they were on sale for $80.
1245,do they help you run faster?,"no, but my feet don't hurt anymore."
1246,then they're worth every penny.,you might want to buy a pair.
1247,i'll wait until i wear this pair out.,you can say that again.
1248,but i'm worried about tiger.,why is that?
1249,because he likes to scuba dive.,what's wrong with that?
1250,it can be dangerous.,you mean he could drown.
1251,he shouldn't scuba dive until he retires.,but he dives to relax.
1252,"he might relax, but it makes me nervous.","if his wife doesn't mind, you shouldn't mind."
1253,the one that tiger won?,how did he do it?
1254,it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
1255,he sank a 25-footer last year at the same tournament to win by one stroke.,i think he is from outer space.
1256,no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
1257,no human can do that.,somebody should check his birth record.
1258,i bet it says he was born on mars.,there are so many great players.
1259,"yes, but who is the greatest?",i'd have to say babe ruth.
1260,most people would say that.,he changed the game.
1261,"yes, he made the home run popular.","everybody loved him, all over the nation."
1262,he helped make the yankees the best team ever.,"and ruth was a good person, too."
1263,he always visited hospitals to cheer up sick kids.,there will never be another babe.
1264,"no, please tell me.",someone punched out someone.
1265,that's not nice.,it's worse than that.
1266,how so?,two guys got into an argument.
1267,i'll bet they were drinking.,a third guy punched one of the two guys.
1268,"i'll bet he was drinking, too.",the victim hit his head on the concrete steps and died.
1269,that's terrible. can't people just have fun at a baseball game?,is there a game tonight?
1270,"yes, it starts at 7 p.m.",can we get tickets?
1271,"yes, but only the cheap tickets.",how much are they?
1272,they're only $5 each.,that's a good price.
1273,"yes, it's cheaper than a hot dog or a beer.",where are the seats?
1274,they're behind the outfield.,maybe we can catch a home run ball.
1275,what's so hard about hitting a little white ball?,it's hard if you want to do it right.
1276,you mean like tiger?,"no, like a good amateur golfer."
1277,what's so hard about golf?,there are so many things you have to do right.
1278,like what?,"like keep your left arm straight, keep your head down, and follow through."
1279,yikes! who can remember all that?,you need to get a lot of lessons when you're really young.
1280,forget it. golf sounds more like work than fun.,the home run hitter on drugs?
1281,he said a doctor helped him with a personal problem.,he said he wasn't using drugs.
1282,he apologized to the fans.,the league suspended him for 50 games.
1283,that will cost him some money.,"yes, about $7 million."
1284,that will teach him a good lesson.,he probably won't use drugs anymore.
1285,but it won't stop other players from using drugs.,no. everyone always figures that they won't get caught.
1286,because parents don't teach their kids right from wrong.,is that it?
1287,"also, there aren't enough police.",but there are a lot of police.
1288,there's only one police officer per 100 criminals.,can't we hire more police?
1289,no. it costs too much money.,doesn't crime cost more than police?
1290,"yes, it does.",so it would be cheaper to hire more police?
1291,"yes, it would.","yes, it is."
1292,people are friendly.,"yes, they are."
1293,the streets and sidewalks are clean.,"yes, they are."
1294,there's a real nice park nearby.,"yes, there is."
1295,i feel safe here.,there is no crime here.
1296,i wish i could move here.,"maybe you can, if someone moves out."
1297,what happened?,the man fell asleep.
1298,was he smoking?,"yes, he was smoking a cigarette."
1299,did he die?,"yes, he did. his cat died, too."
1300,that's too bad. what about his smoke alarm?,the battery was dead.
1301,a good battery would have saved his life.,"he had cigarettes, but no battery."
1302,it happens all the time.,he's been in jail three times already.
1303,why did they ever let him out?,it's the law. they can't keep him in jail forever.
1304,why not? everyone knows he's a firebug. he loves to start fires.,i don't know. sometimes the law doesn't make sense.
1305,but his latest fire killed someone.,this time they have charged him with murder.
1306,so maybe he'll go to jail forever?,i sure hope so.
1307,someone should set him on fire.,that would teach him a good lesson.
1308,why?,because it will protect you in case of an accident.
1309,but it's uncomfortable.,it's the law.
1310,it's so much trouble.,it's common sense.
1311,it's so tight that it's hard for me to breathe.,hold your breath till we get there.
1312,"okay, my seatbelt is on.",i'm glad you don't complain very much.
1313,i'm ready for an accident.,i'm going to change the light bulb. it burnt out.
1314,what are you standing on?,a couple of dictionaries and some textbooks.
1315,are you crazy?,what's the matter?
1316,those books will slip and you'll fall.,it's only a couple of feet.
1317,"what if you fall while you're holding the light bulb, and it breaks and pieces go into your eyes?",i never thought about that.
1318,you'd be blind for the rest of your life!,i'll get the stepladder.
1319,yes. i called for a clean-up.,a puddle of water is very dangerous.
1320,it isn't easy to see.,but it's real easy to slip on.
1321,especially on these slick floors.,someone who slips could hurt their back.
1322,they could even crack their head open.,we should stand here till the clean-up person gets here.
1323,we can leave if we put an orange cone here.,"yes, but i don't know where the orange cones are."
1324, it doesn't matter. here he comes now with the mop.,we tell our students to leave the classroom.
1325,can they take their belongings?,"yes, if they do it quickly."
1326,where do the students go?,they go out to the north parking lot.
1327,what do the teachers do?,we take our rosters to the parking lot and take roll.
1328,why do you do that?,we want to make sure all the students are out of the building.
1329,"if they are all outside, then what?",then we just wait outside for a fireman to tell us to go back in.
1330,why? we're already late.,i have to check the stove.
1331,what's the matter?,maybe i left the burner on.
1332,"no, you didn't. i checked the stove before we left.",are you sure?
1333,of course i'm sure.,"well, i have to go back upstairs anyway."
1334,it's getting later every minute.,i think i left the water running.
1335,"no, you didn't. let's go! the only thing running is the clock!",what are they paying?
1336,"up to $200 for each gun, no questions asked.",why are they doing this?
1337,they want to get guns off the street.,who would turn in a gun for $200?
1338,that isn't a good deal?,a good gun costs $400 or more.
1339,"well, if you bring your receipt, maybe they'll give you $400.",i'll keep my receipt and my gun.
1340,i didn't know you had a gun.,everyone in america should have a gun.
1341,i sure am.,you should go to bed.
1342,i will as soon as i finish this article.,what are you reading?
1343,it's about crime in los angeles.,what does it say?
1344,the mayor says the crime rate is going down.,then why does everyone lock their doors?
1345,i guess they haven't read this article.,no one believes that the crime rate is going down.
1346,maybe the mayor is just talking about his own neighborhood.,why is that?
1347,because of all the earthquakes and fires.,but big earthquakes happen only once in a while.
1348,once in a while is once too many.,but you're right. there are a lot of fires.
1349,a recent fire destroyed 85 homes.,"still, it's safer than florida."
1350,florida doesn't have earthquakes or fires.,"no, florida just has hurricanes every year from june to october."
1351,but most of those hurricanes are harmless.,"excuse me. hurricane andrew destroyed 30,000 homes!"
1352,did you like it?,i loved it. i want to live there.
1353,what did you like?,"the island is so green, and the water is so blue."
1354,did you go swimming?,i went to the beach every day.
1355,how was the weather?,it was hot and sunny every day.
1356,what did you do at night?,at night i went out to eat. the food was delicious.
1357,people who live in hawaii are lucky.,what do you like about it?
1358,we get a free breakfast.,coffee and a roll?
1359,"no, a real breakfast.",bacon and eggs?
1360,"with toast, ham, sausage, fresh fruit, and juice.",wow! that is nice. let's stay for two nights.
1361,"and the rooms are clean, too.",do they allow pets?
1362,"no pets, no smoking.",i like that. let's stay three nights.
1363,what's the matter? this is a nice room.,"maybe the room is nice, but not the bed."
1364,what's wrong with the bed?,look at this sheet.
1365,yes?,see those stains?
1366,i sure do.,i'm not sleeping on that sheet.
1367,"well, just call the front desk. they'll give us new sheets.",i want sheets without stains on them.
1368,"from now on, let's bring our own sheets.",it leaves at 12:15.
1369,when do you have to be at the airport?,i have to be there two hours early.
1370,so we have to be at the airport at 10:15.,that means we have to leave the house at 9:15.
1371,"well, it's an hour to get there, if there are no traffic problems.",so maybe we better leave at 8:15?
1372,"yes, it's better to get there too early than too late.",i agree.
1373,you never know what might happen on these freeways.,there's at least one huge accident every day.
1374,when are you going?,during the christmas holidays.
1375,you'd better buy your ticket now.,you must be kidding.
1376,"no, i'm not. it's march. time is running out. seats are selling out right now.",i thought i would wait until october.
1377,i'll bet this is the first time you've ever flown during christmas.,you're right.
1378,"well, listen to me. you need to buy a ticket now.",but maybe prices will be cheaper in october.
1379,cheaper prices won't do you any good if there are no seats.,so do i.
1380,"a long time ago, flying used to be okay.",now it's like riding a bus.
1381,you're jammed in with people all around you.,"half of them are coughing, and the other half are sneezing."
1382,you don't have any elbow room or knee room.,people are always getting up to use the bathroom.
1383,kids are crying or climbing over you.,it's a flying zoo!
1384,i wish i could afford first class seats.,doesn't everybody?
1385,good for him.,why would he do that?
1386,did he set a new record?,"yes, i think he did."
1387,"well, i guess that's why he did it.",what's the point?
1388,now he has the world record!,"but someone's going to break it, so what good is it?"
1389,"well, he can enjoy it while it lasts.",i don't think he even got paid for it.
1390,some people do it just to do it.,that sounds like fun. where do you want to go?
1391,i want to cruise to hawaii.,"that should be a nice trip. lots of fun, and lots of food."
1392,i have no idea how much it will cost.,i think it depends on the season and on your cabin.
1393,"well, of course i want to go when the weather is nice.","yes, you don't want to travel in winter storms."
1394,and i want to get a big cabin with a view.,are you going to travel alone?
1395,"no, my sister and i will travel together.","well, you should go online and try to find a good deal."
1396,because of all the security?,"no, because it hurts my ears."
1397,what do you mean?,"every time we land or take off, my ears hurt so much."
1398,"that's just the altitude change, i think.","whatever it is, it hurts."
1399,can't you take medicine or something for it?,"i've tried everything, but nothing works."
1400,have you tried earplugs?,"they don't work, either."
1401,"well, be glad you're not a pilot.",are you going to go anywhere?
1402,i was thinking of driving to arizona.,to the grand canyon?
1403,yes. i've never been there.,i was there when i was a kid.
1404,how did you like it?,i loved it. i still remember how amazing it was.
1405,"i'm sure i'll like it, too.",you should try riding a mule on a trail to the bottom.
1406,no way! i don't want to fall to my death.,don't worry. only one person has ever fallen off a mule.
1407,the worst in the whole world.,the walls were so thin.
1408,all day long we heard tvs or telephones.,all night long we heard people snoring.
1409,housekeeping didn't give us fresh towels.,room service brought us a cold dinner.
1410,our nonsmoking room stunk of cigarette smoke.,our room was right next to the elevator and the ice machine.
1411,they added phony charges to our bill.,how did we end up in that terrible hotel?
1412,the travel agent gave us a 50-percent discount!,it's not even 10 o'clock.
1413,i'm falling asleep on the phone.,you got up real early.
1414,i had to take my friend to the airport.,why didn't you take a nap when you got home?
1415,i didn't get home until 30 minutes ago.,why is that?
1416,there was a bomb threat at the airport.,only a threat?
1417,"yes, but i was stuck there all day while they looked for the bomb.",someday the bomb is going to be for real.
1418,why did he do that?,"he was invited, along with about 90 other veterans."
1419,who invited them?,some private organization.
1420,why did they invite him?,to thank him and all the other soldiers who served in world war ii.
1421,that's very nice.,my dad got to see the beautiful new world war ii monument.
1422,that trip must have cost a lot of money. ,he said all the money came from private donations.
1423,"tell me about it, dad.",about 90 of us world war ii veterans got on the plane at 8 a.m.
1424,how long was the flight?,it only took about two hours.
1425,did you take pictures at the world war ii monument?,"oh, yes. we all took lots of pictures."
1426,then you flew back home that evening?,"yes. when we landed, tv reporters and the army band were there."
1427,that must have made you feel really special.,"oh, it did. there were about 300 people there to honor us."
1428,"well, you all deserve it. you helped save our country.",i thought you had a job.
1429,i did.,what happened?
1430,i got laid off.,that's terrible! when did it happen?
1431,i got laid off last week.,just you?
1432,"no, ten of my coworkers got laid off, too.",what are you going to do?
1433,i'm looking in the newspaper for a job.,good luck!
1434,what's to check?,are your nails clean?
1435,"yes, they are.",did you double-check your nose and teeth?
1436,"they are clean, too.",did you shine your shoes?
1437,my shoes are shined.,do your socks match?
1438,of course they match.,"no, they don't. one is black and one is dark blue."
1439,yikes! thank you.,it sure is.
1440,i thought school was hard.,"me, too. i couldn't wait to graduate."
1441,"but now work is hard, too.",i agree. work is just as hard as school.
1442,sometimes i wish i was back in school.,"me, too. school was fun."
1443,and it was only 12 years.,it went by pretty fast.
1444,but work goes on forever!,we have to work for 30 years!
1445,so am i.,i had a long day.
1446,so did i.,i didn't even have lunch.
1447,neither did i.,i was busy the whole day.
1448,so was i.,i had to bring work home with me.
1449,i did too.,your day was just like mine.
1450,of course it was. we work together!,what do you do?
1451,i'm a babysitter.,is that a lot of work?
1452,babies cry all the time.,you have to change their diapers.
1453,i have to feed them.,are you looking for another job?
1454,"no, i'm looking for another family.",another family?
1455,a family with only one baby.,that's a good idea.
1456,what was your last job?,i was a painter.
1457,what happened?,i got laid off because there was no work.
1458,what else can you do?,i'm a handyman.
1459,can you fix a dripping faucet in a kitchen sink?,of course.
1460,then i have a job for you in my kitchen.,it will cost you only $20 plus parts.
1461,okay. that sounds like a fair price.,i have no idea. i've been here for 20 years.
1462,do you have any other skills?,"well, i know how to flip hamburgers."
1463,no one would hire you to flip hamburgers.,have you heard something that you're not telling me?
1464,what do you mean?,are there going to be layoffs at this place?
1465,i certainly hope not!,"if you got laid off, you'd be flipping hamburgers, too."
1466,"oh great, we could both work at burger king.","maybe we'd get laid off there, too."
1467,"yes, and they ask me what jobs are the best.",i tell my students to become a teacher.
1468,teaching is a great job.,it's the best job i've ever had.
1469,what makes it so good?,"for me, it's the students."
1470,what do you mean?,i mean i have wonderful students.
1471,that must be nice.,teaching is the best part of my whole day.
1472,you're a lucky man to have a job you love.,how long did it take?
1473,"four hours, without a break.",it's always nice to finish a job.
1474,"well, it's good and bad.",what's bad about it?
1475,"when you finish, all you do is start another job!","yes, that's right. it does get boring."
1476,"especially if it's the same work, over and over.",but that's what most people do.
1477,"yes, i guess most of us are stuck in a routine.",i wonder if there is any job that you don't repeat over and over.
1478,what makes him so bad?,he's rude and he yells a lot.
1479,that's hard to take.,i've never heard him say please or thank you.
1480,he sounds like a real jerk.,no one at work likes him.
1481,can't you report him to his supervisor?,"of course not. if i do that, i'll lose my job."
1482,"yes, they don't like troublemakers or complainers.","i can't quit, because i'm making a good salary."
1483,you shouldn't choose money over happiness.,about what?
1484,about finding a job for me.,you don't need a job. i make enough money for both of us.
1485,that doesn't matter. i don't want to sit around.,"okay, what kind of job do you want?"
1486,i'm not sure.,"well, you should do something that you enjoy."
1487,i enjoy selling. i was born to sell.,"okay, what do you want to sell?"
1488,cigarette lighters. i'll make a fortune.,but you hate cigarettes and you hate smoking!
1489,"yes, i saw it on the tv news.",they need 300 new workers.
1490,"and 4,000 people showed up.",so many people are out of work.
1491,"i still have my job, thank goodness.","so do i, but i'm worried."
1492,me too. there are no guarantees.,"if you lose your job, you can move in with me."
1493,"oh, thank you. that's very nice of you.",you would do the same for me.
1494,of course. what are friends for?,what did you do?
1495,i bought some stock.,everybody buys stock.
1496,i bought it on a hunch.,you didn't read about the company first?
1497,i didn't have to. it's been in business for 60 years.,so what's the problem?
1498,i used all my savings on this one company.,you put all your eggs into one basket.
1499,"if the company goes out of business, i'll have nothing.","oh, you'll have somethingÃ‚â€”you'll have a lesson you'll never forget!"
1500,what happened to your plans?,i got a d in college chemistry.
1501,"well, a d is better than an f.",a tutor helped me get the d!
1502,"so, you didn't become a doctor.",and now i'm glad that i didn't.
1503,why's that?,a hospital is the most dangerous place in the world.
1504,"oh, yes, because of all the killer germs.","if you're a smart doctor, you stay away from hospitals."
1505,"yes, the smart doctors are those tv news doctorsÃ‚â€”no hospitals, no patients.",why?
1506,because you get to meet a lot of people.,you sure do.
1507,and you get a lot of exercise every day.,that's the truth.
1508,and you get to play with a lot of dogs.,"well, you're supposed to be working."
1509,"yes, but i will always pet the friendly dogs.",what about the unfriendly dogs?
1510,"i think if you are friendly to dogs, they are friendly to you.",dogs are like peopleÃ‚â€”not all of them are friendly.
1511,to the state or the city?,"to the city, of course."
1512,why do you want to move there?,because i want to make a lot of money.
1513,there are a lot of poor people in new york.,there sure areÃ‚â€”at least a million.
1514,so how do you plan to become rich?,i will knock on the doors of all the corporations.
1515,that won't make you rich. nobody will talk to you.,i will keep knocking on doors.
1516,all you will get is sore knuckles.,me too.
1517,i usually eat a simple salad.,what do you put in it?
1518,"just lettuce, tomato, and celery.",that's it?
1519,i add some pepper and salt.,i always put cheese in my salads.
1520,"yes, cheese is nice.",what kind of dressing do you use?
1521,i pour lots of french dressing on top.,me too. french dressing is so delicious! who cares about calories?
1522,me too.,where does cheese come from?
1523,it comes from cows.,"so we get cheese from cows, and we get milk, too?"
1524,"yes, we do.",what else do we get from cows?
1525,we get hamburgers and steak.,"oh, that's so delicious."
1526,we also get leather.,"we get a lot of things from cows, don't we?"
1527,yes. a cow is man's best friend.,how did you like it?
1528,i loved it!,did you get free food?
1529,i ate free cheese and meat every day.,that sounds like a great job.
1530,"whatever a customer ordered, i sliced off a little more for me.",did you get fat?
1531,"no, but i did put on a few pounds.",that sounds like a dream job.
1532,"it was, until one day my manager caught me.","no more free cheese for you, huh?"
1533,what are you eating now?,i switched from pasta to potatoes.
1534,why did you do that?,pasta is processed food. potatoes are natural food.
1535,natural food has more vitamins.,and it's just as easy to prepare.
1536,how do you prepare the potatoes?,"i wash them, and then steam them for 15 minutes."
1537,that's pretty simple.,"then i add butter, salt, and pepper."
1538,can i have all those cans of tomato sauce you bought for your pasta?,why was that?
1539,i sprinkled salt and pepper on the food before i tasted it.,what's the matter with that?
1540,her mom is a great cook.,"so, a little salt and pepper never hurt anything."
1541,it hurt her feelings.,oh.
1542,"i apologized to her, but i could tell she was still upset.",maybe you shouldn't eat there again.
1543,i'm sure everything will be okay in a day or two.,it's your girlfriend's fault. she should have warned you.
1544,you're kidding.,"no, i'm serious."
1545,doesn't that get old?,"no, because i'm eating food that i like."
1546,but the same thing day after day gets old.,"well, i guess if it ever does get old, i'll change to something different."
1547,do you eat fruits and vegetables every day?,"no, i hate vegetables."
1548,but you eat fruits.,"i eat two apples, one banana, and one orange every day."
1549,"well, there's nothing wrong with that.",what's wrong?
1550,it's not orange!,your orange isn't orange?
1551,"no, it's dark pink!",are you sure? i never heard of such a thing.
1552,"i just peeled it, and i'm looking at it right now.","let me see. yes, you're right. your orange is pink."
1553,who ever heard of such a thing?,"oh, look. here's the little sticker that was on it. it's called a pink navel."
1554,what is this world coming to?,who knows? maybe soon we'll have pink bananas.
1555,"me, too. i love them roasted and salted.",i love boiled peanuts.
1556,boiled? i never heard of that.,just boil raw peanuts in salt water until the shells are soft.
1557,i'll have to try them sometime.,they're best when they're hot.
1558,my brother is allergic to peanuts.,that's not good.
1559,"no, it isn't. he almost died when he was little.",i guess he has to be very careful about what he eats.
1560,he has a very strict diet.,how much have you gained?
1561,three pounds just this month.,do you know why?
1562,i think it's the ice cream.,you started eating ice cream?
1563,it was on sale.,how much did you buy?
1564,i filled up my freezer with ice cream.,"well, it won't last forever."
1565,"no, i figure i'll finish it all by next week.","then you can start losing weight, if there isn't another sale."
1566,of course you are. you ate everything on the table.,i don't like to eat leftovers.
1567,i'm glad to hear there's something you don't like to eat.,i like my food hot and fresh.
1568,you like to see it disappear.,i don't like it reheated.
1569,"well, you'll have hot fresh food tomorrow night.",i'm so full i'm going to burst.
1570,you should loosen your belt.,i already loosened my belt and unbuttoned my pants.
1571,"well, don't stand up, please.",i didn't do anything.
1572,"oh yes, you did.",what are you talking about?
1573,you know what i'm talking about.,i don't have any idea.
1574,you know what you did.,"maybe i know, but how could you know?"
1575,because i was watching you.,"okay, i'm sorry i did it."
1576,don't drink milk out of the carton. use a glass!,i promise i'll never drink out of the carton again.
1577,so do i.,how much is it?
1578,i don't know. the tag is missing.,ask the clerk.
1579,i will.,"oh, look. here's another shirt just like it."
1580,does it have a price tag?,"yes, it does. it's only $20."
1581,that's a great price.,i think i'll buy both of them.
1582,you'd better try them on first.,thank you.
1583,i hope they fit.,i hope you kept the receipt.
1584,you think they won't fit?,i think i've put on some weight.
1585,you think?,maybe a pound or two.
1586,maybe four or five pounds?,my waist is bigger than it was.
1587,no problem. these pants have an elastic waistband.,you are so smart!
1588,let me look at our list.,i know that we need milk.
1589,nonfat.,of course. what else?
1590,"we need cheese, bread, and ham.",what kind of cheese?
1591,swiss.,"of course, the cheese with holes in it."
1592,i never used to buy swiss cheese.,why not?
1593,i didn't want to pay for the holes.,i thought you just bought a pair.
1594,i did.,what's wrong with them so soon?
1595,"the pants are fine, but the pocket has a huge hole in it.",you shouldn't carry your keys and pens in your pocket.
1596,but that's what pockets are for.,you should carry them in a purse.
1597,"i'm a man, and men don't carry purses!","well, you should buy pants with stronger pockets."
